time,seconds_elapsed,relativeAltitude,pressure
1640169660979532300,0.1695322265625,0,826.1959228515625
1640169661019532300,0.2095322265625,-0.0079345703125,826.1966552734375
1640169661059532300,0.2495322265625,-0.0079345703125,826.1966552734375
1640169661099532300,0.2895322265625,-0.0079345703125,826.1966552734375
1640169661139532300,0.3295322265625,-0.0052490234375,826.196533203125
1640169661179532300,0.3695322265625,-0.0079345703125,826.1966552734375
1640169661219532300,0.4095322265625,-0.0052490234375,826.196533203125
1640169661259532300,0.4495322265625,-0.0079345703125,826.1966552734375
1640169661299532300,0.4895322265625,-0.0079345703125,826.1966552734375
1640169661339532300,0.5295322265625,-0.0079345703125,826.1966552734375
1640169661379532300,0.5695322265625,-0.0079345703125,826.1966552734375
1640169661419532300,0.6095322265625,-0.010498046875,826.1968994140625
1640169661459532300,0.6495322265625,-0.010498046875,826.1968994140625
1640169661499532300,0.6895322265625,-0.01318359375,826.1972045898438
1640169661539532300,0.7295322265625,-0.01318359375,826.1972045898438
1640169661579532300,0.7695322265625,-0.015869140625,826.1974487304688
1640169661619532300,0.8095322265625,-0.01318359375,826.1972045898438
1640169661659532300,0.8495322265625,-0.01318359375,826.1972045898438
1640169661699532300,0.8895322265625,-0.010498046875,826.1968994140625
1640169661739532300,0.9295322265625,-0.010498046875,826.1968994140625
1640169661779532300,0.9695322265625,-0.0079345703125,826.1966552734375
1640169661819532300,1.0095322265625,-0.0079345703125,826.1966552734375
1640169661859532300,1.0495322265625,-0.0079345703125,826.1966552734375
1640169661899532300,1.0895322265625,-0.0079345703125,826.1966552734375
1640169661939532300,1.1295322265625,-0.0079345703125,826.1966552734375
1640169661979532300,1.1695322265625,-0.010498046875,826.1968994140625
1640169662019532300,1.2095322265625,-0.010498046875,826.1968994140625
1640169662059532300,1.2495322265625,-0.01318359375,826.1972045898438
1640169662099532300,1.2895322265625,-0.01318359375,826.1972045898438
1640169662139532300,1.3295322265625,-0.015869140625,826.1974487304688
